m,L1_2024,L1_2025
5,0.9612564913350787,0.879060996722824
10,0.944814051314267,0.8433940302476142
20,0.7656501198179256,0.6632423566308375
30,0.7161948788989199,0.6555647440167058
40,0.6291752038109422,0.6369610851231043
50,0.598644006977262,0.5726186761241889
60,0.5470106873607037,0.5248028491217998
70,0.5005317776605773,0.5128663993189755
80,0.46817025183717664,0.5307796746955584
90,0.10888040402381073,0.22265628883573046
100,0.09525615351089012,0.21379471120391674
